,Engines,Detections,PercentageOfDetection,CumSumPercentages
6,Fortinet,2786,9.509506092774005,9.509506092774005
31,Webroot,2770,9.454892992456564,18.964399085230568
36,MalwarePatrol,2592,8.84732225142506,27.81172133665563
12,CyRadar,2365,8.0724988906714,35.88422022732703
24,alphaMountain.ai,1961,6.693518107656074,42.5777383349831
51,Comodo Valkyrie Verdict,1563,5.3350172372597875,47.91275557224289
9,CRDF,1453,4.959552172577397,52.87230774482028
53,Sophos,1216,4.150595624125337,57.02290336894562
22,G-Data,1195,4.078915929958699,61.10181929890432
8,ESET,905,3.089053486705123,64.19087278560944
44,Kaspersky,863,2.9456940983718467,67.13656688398129
49,GreenSnow,745,2.5429224835307367,69.67948936751202
45,IPsum,707,2.41321637027682,72.09270573778883
34,Avira,574,1.9592449738881115,74.05195071167694
20,Emsisoft,552,1.8841519609516335,75.93610267262856
2,Phishtank,536,1.8295388606341945,77.76564153326277
54,Forcepoint ThreatSeeker,519,1.7715124415469161,79.53715397480968
7,CLEAN MX,503,1.7168993412294775,81.25405331603916
5,Netcraft,496,1.6930061098405982,82.94705942587976
0,AlienVault,487,1.662286240912039,84.6093456667918
15,EmergingThreats,484,1.652046284602519,86.26139195139432
55,Dr.Web,480,1.6383930095231596,87.89978496091747
39,Trustwave,462,1.5769532716660408,89.47673823258351
21,BitDefender,422,1.440420520872444,90.91715875345596
33,Phishing Database,342,1.167355019285251,92.08451377274122
52,AegisLab WebGuard,337,1.1502884254360515,93.23480219817726
18,Spamhaus,291,0.9932757620234154,94.22807796020068
59,Google Safebrowsing,244,0.8328497798409393,95.06092774004162
30,Yandex Safebrowsing,189,0.645117247499744,95.70604498754136
50,ADMINUSLabs,173,0.5905041471823054,96.29654913472366
38,MalSilo,136,0.4642113526982285,96.76076048742189
26,Sangfor,129,0.44031812130934905,97.20107860873124
40,SCUMWARE.org,123,0.4198382086903095,97.62091681742154
17,CINS Army,89,0.30378537051575244,97.9247021879373
28,Certego,75,0.25599890773799366,98.18070109567529
27,ESTsecurity-Threat Inside,72,0.2457589514284739,98.42646004710376
11,AutoShun,68,0.23210567634911425,98.65856572345287
14,CMC Threat Intelligence,64,0.2184524012697546,98.87701812472262
57,Segasec,51,0.1740792572618357,99.05109738198446
23,Quttera,44,0.15018602587295626,99.20128340785742
4,URLhaus,38,0.1297061132539168,99.33098952111133
32,DNS8,35,0.11946615694439704,99.45045567805573
47,PhishLabs,28,0.09557292555551763,99.54602860361125
29,PREBYTES,18,0.061439737857118475,99.60746834146836
19,Spam404,16,0.05461310031743865,99.6620814417858
60,Scantitan,16,0.05461310031743865,99.71669454210324
46,MalBeacon,14,0.04778646277775882,99.764481004881
35,Lumu,14,0.04778646277775882,99.81226746765877
43,K7AntiVirus,12,0.040959825238078985,99.85322729289685
1,Sucuri SiteCheck,11,0.037546506468239066,99.89077379936509
48,Antiy-AVL,8,0.027306550158719325,99.9180803495238
42,Cyan,8,0.027306550158719325,99.94538689968252
56,OpenPhish,4,0.013653275079359662,99.95904017476188
16,Blueliv,2,0.006826637539679831,99.96586681230156
10,Quick Heal,2,0.006826637539679831,99.97269344984123
58,Feodo Tracker,2,0.006826637539679831,99.9795200873809
3,securolytics,2,0.006826637539679831,99.98634672492058
41,AICC (MONITORAPP),1,0.0034133187698399156,99.98976004369042
37,Rising,1,0.0034133187698399156,99.99317336246027
25,ZeroCERT,1,0.0034133187698399156,99.99658668123011
13,Artists Against 419,1,0.0034133187698399156,99.99999999999996
